CONTEST_ID	CONTEST_ORDER	CANDIDATE_ORDER	TOTAL	CANDIDATE_PARTY_ID	CANDIDATE_ID	VOTE_FOR	CONTEST_TYPE	CANDIDATE_TYPE	TOTAL_PRECINCTS	PROCESSED_DONE	PROCESSED_STARTED	IS_WRITEIN_CANDIDATE	CONTEST_FULL_NAME	CANDIDATE_FULL_NAME	CONTEST_TOTAL	undervote	overvote	IS_WINNER	cf_cand_class	IS_PRECINCT_LEVEL	PRECINCT_NAME	is_visible
0	-100	1	53440		1	0	-2	0	0	206	0	0	Registration & Turnout	Precinct Turnout	146384	0	0	0	candidate	0		0
0	-100	2	75		2	0	-2	0	0	206	0	0	Registration & Turnout	Electronic Vote Turnout	146384	0	0	0	candidate	0		0
1	1	1	16112	0	83	1	0	0	206	206	206	0	U.S. Senator	  - Michael Baumgartner	52401	1002	79	0	candidate	0		0
1	1	2	563	0	84	1	0	0	206	206	206	0	U.S. Senator	  - Will Baker	52401	1002	79	0	candidate	0		0
1	1	3	1056	0	85	1	0	0	206	206	206	0	U.S. Senator	  - Chuck Jackson	52401	1002	79	0	candidate	0		0
1	1	4	1084	0	86	1	0	0	206	206	206	0	U.S. Senator	  - Timmy (Doc) Wilson	52401	1002	79	0	candidate	0		0
1	1	5	3270	0	87	1	0	0	206	206	206	0	U.S. Senator	  - Art Coday	52401	1002	79	0	candidate	0		0
1	1	6	28461	0	88	1	0	0	206	206	206	0	U.S. Senator	  - Maria Cantwell	52401	1002	79	1	winner	0		0
1	1	7	1155	0	89	1	0	0	206	206	206	0	U.S. Senator	  - Glen (Stocky) R. Stockwell	52401	1002	79	0	candidate	0		0
1	1	8	700	0	90	1	0	0	206	206	206	0	U.S. Senator	  - Mike the Mover	52401	1002	79	0	candidate	0		0
2	2	1	5566	0	91	1	0	0	206	206	206	0	U.S. Representative District 6	  - Jesse Young	51756	1617	77	0	candidate	0		0
2	2	2	1197	0	92	1	0	0	206	206	206	0	U.S. Representative District 6	  - Eric G. Arentz Jr.	51756	1617	77	0	candidate	0		0
2	2	3	27557	0	93	1	0	0	206	206	206	0	U.S. Representative District 6	  - Derek Kilmer	51756	1617	77	1	winner	0		0
