RaceID	RaceName	BallotID	BallotName	Votes	TotalBallotsCastByRace	PartyName	RaceJurisdictionTypeName
106833	Initiative Measure 1185 Concerns tax and fee increases imposed by state government	106834	Yes	299885	1363114		State Measures
106833	Initiative Measure 1185 Concerns tax and fee increases imposed by state government	106835	No	1063229	1363114		State Measures
106837	Initiative Measure 1240 Concerns creation of a public charter school system	106838	Yes	616456	2802074		State Measures
106837	Initiative Measure 1240 Concerns creation of a public charter school system	106839	No	2185618	2802074		State Measures
106813	Referendum Measure 74 Concerns marriage for same-sex couples	106814	Approved	541389	2460859		State Measures
106813	Referendum Measure 74 Concerns marriage for same-sex couples	106815	Rejected	1919470	2460859		State Measures
106465	Initiative to the Legislature 502 Concerns marijuana	106466	Yes	405223	1841923		State Measures
106465	Initiative to the Legislature 502 Concerns marijuana	106467	No	1436700	1841923		State Measures
106705	Engrossed Senate Joint Resolution 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit	106706	Approved	383080	1741272		State Measures
106705	Engrossed Senate Joint Resolution 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit	106707	Rejected	1358192	1741272		State Measures
106701	Senate Joint Resolution 8223 Concerns investments by the University of Washington and Washington State University	106702	Approved	445075	2023069		State Measures
106701	Senate Joint Resolution 8223 Concerns investments by the University of Washington and Washington State University	106703	Rejected	1577994	2023069		State Measures
107001	Advisory Vote 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans	107002	Repealed	290834	1321971		State Advisory Votes
107001	Advisory Vote 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans	107003	Maintained	1031137	1321971		State Advisory Votes
107109	Advisory Vote 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products	107110	Repealed	7277	33079		State Advisory Votes
107109	Advisory Vote 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products	107111	Maintained	25802	33079		State Advisory Votes
1	President/Vice President	28017	Barack Obama / Joe Biden	584657	2657532	Democratic Party Nominees	Federal
1	President/Vice President	28036	Mitt Romney / Paul Ryan	2072875	2657532	Republican Party Nominees	Federal
1	President/Vice President	27984	Gary Johnson / James P. Gray	584657	2657532	Libertarian Party Nominees	Federal
1	President/Vice President	27987	Virgil Goode / James N. Clymer	2072875	2657532	Constitution Party Nominees	Federal
1	President/Vice President	27988	Jill Stein / Cheri Honkala	584657	2657532	Green Party Nominees	Federal
1	President/Vice President	27983	Peta Lindsay / Yari Osorio	2072875	2657532	Socialism & Liberation Party Nominees	Federal
1	President/Vice President	27985	James Harris / Alyson Kennedy	584657	2657532	Socialist Workers Party Nominees	Federal
1	President/Vice President	27986	Ross C. (Rocky) Anderson / Luis J. Rodriguez	2072875	2657532	Justice Party Nominees	Federal
