CountyName	RaceID	RaceName	BallotID	BallotName	Votes	TotalBallotsCastByRace	PartyName
Adams	2	United States U.S. Senator	23036	Michael Baumgartner	1094	2586	(Prefers Republican Party)
Adams	2	United States U.S. Senator	27435	Will Baker	32	2586	(Prefers Reform Party)
Adams	2	United States U.S. Senator	23001	Chuck Jackson	53	2586	(Prefers Republican Party)
Adams	2	United States U.S. Senator	27816	Timmy (Doc) Wilson	55	2586	(Prefers Democratic Party)
Adams	2	United States U.S. Senator	23970	Art Coday	62	2586	(Prefers Republican Party)
Adams	2	United States U.S. Senator	23100	Maria Cantwell	968	2586	(Prefers Democratic Party)
Adams	2	United States U.S. Senator	27073	Glen (Stocky) R. Stockwell	265	2586	(Prefers Republican Party)
Adams	2	United States U.S. Senator	24705	Mike the Mover	57	2586	(Prefers Republican Party)
Adams	7	Congressional District 4 U.S. Representative	25333	Mary Baechler	441	2574	(Prefers Democratic Party)
Adams	7	Congressional District 4 U.S. Representative	23090	Doc Hastings	1864	2574	(Prefers Republican Party)
Adams	7	Congressional District 4 U.S. Representative	26820	Mohammad H. Said	55	2574	(Prefers Democratic Party)
Adams	7	Congressional District 4 U.S. Representative	26198	Jamie Wheeler	214	2574	(Prefers Republican Party)
Adams	13	Washington State Governor	24769	Rob Hill	92	2658	(Prefers Democratic Party)
Adams	13	Washington State Governor	26224	Rob McKenna	1746	2658	(Prefers Republican Party)
Adams	13	Washington State Governor	24230	Jay Inslee	611	2658	(Prefers Democratic Party)
Adams	13	Washington State Governor	27356	James White	22	2658	(Prefers Independent Party)
Adams	13	Washington State Governor	27494	Christian Joubert	15	2658	(States No Party Preference)
Adams	13	Washington State Governor	25182	Shahram Hadian	61	2658	(Prefers Republican Party)
Adams	13	Washington State Governor	25059	L. Dale Sorgen	14	2658	(Prefers Independent Party)
Adams	13	Washington State Governor	25871	Max Sampson	37	2658	(Prefers Republican Party)
Adams	13	Washington State Governor	25246	Javier O. Lopez	60	2658	(Prefers Republican Party)
Adams	14	Washington State Lt. Governor	23000	Glenn Anderson	698	2417	(Prefers Indep Republican Party)
Adams	14	Washington State Lt. Governor	22477	Brad Owen	678	2417	(Prefers Democrat Party)
Adams	14	Washington State Lt. Governor	26503	James Robert Deal	72	2417	(States No Party Preference)
Adams	14	Washington State Lt. Governor	24457	Bill Finkbeiner	884	2417	(Prefers Republican Party)
Adams	14	Washington State Lt. Governor	27838	Dave T. Sumner IV	9	2417	(Prefers Neopopulist Party)
Adams	14	Washington State Lt. Governor	27436	Mark Greene	76	2417	(Prefers Democracy Indep. Party)
Adams	15	Washington State Secretary of State	22637	Jim Kastama	145	2340	(Prefers Democratic Party)
Adams	15	Washington State Secretary of State	27396	David J. Anderson	164	2340	(States No Party Preference)
Adams	15	Washington State Secretary of State	22512	Sam Wright	60	2340	(Prefers The Human Rights Party)
Adams	15	Washington State Secretary of State	22883	Karen Murray	184	2340	(Prefers Constitution Party)
Adams	15	Washington State Secretary of State	22633	Kathleen Drew	208	2340	(Prefers Democratic Party)
Adams	15	Washington State Secretary of State	23674	Kim Wyman	1381	2340	(Prefers Republican Party)
Adams	15	Washington State Secretary of State	23136	Greg Nickels	198	2340	(Prefers Democratic Party)
Adams	16	Washington State State Treasurer	24576	Jim McIntire	1487	1487	(Prefers Democratic Party)
Adams	17	Washington State State Auditor	23764	Troy Kelley	397	2334	(Prefers Democratic Party)
Adams	17	Washington State State Auditor	22785	James Watkins	1688	2334	(Prefers Republican Party)
Adams	17	Washington State State Auditor	25686	Mark Miloscia	89	2334	(Prefers Democratic Party)
Adams	17	Washington State State Auditor	25425	Craig Pridemore	160	2334	(Prefers Democratic Party)
Adams	18	Washington State Attorney General	24100	Bob Ferguson	642	2327	(Prefers Democratic Party)
Adams	18	Washington State Attorney General	22967	Reagan Dunn	1363	2327	(Prefers Republican Party)
Adams	18	Washington State Attorney General	25162	Stephen Pidgeon	322	2327	(Prefers Republican Party)
Adams	19	Washington State Commissioner of Public Lands	27181	Stephen A. Sharon	160	2502	(States No Party Preference)
Adams	19	Washington State Commissioner of Public Lands	22479	Peter J. Goldmark	574	2502	(Prefers Democratic Party)
Adams	19	Washington State Commissioner of Public Lands	27283	Clint Didier	1768	2502	(Prefers Republican Party)
Adams	20	Washington State Superintendent of Public Instruction	24486	James Bauckman	280	1959	
Adams	20	Washington State Superintendent of Public Instruction	22926	Randy I. Dorn	913	1959	
Adams	20	Washington State Superintendent of Public Instruction	25932	Don Hansler	206	1959	
Adams	20	Washington State Superintendent of Public Instruction	25087	John Patterson Blair	166	1959	
Adams	20	Washington State Superintendent of Public Instruction	27177	Ronald L. (Ron) Higgins	394	1959	
Adams	21	Washington State Insurance Commissioner	24724	John R. Adams	942	2196	(Prefers Republican Party)
Adams	21	Washington State Insurance Commissioner	23279	Mike Kreidler	588	2196	(Prefers Democratic Party)
Adams	21	Washington State Insurance Commissioner	25866	Scott Reilly	552	2196	(Prefers Republican Party)
Adams	21	Washington State Insurance Commissioner	24732	Brian C. Berend	114	2196	(Prefers Independent Party)
Adams	253	Legislative District 9 State Senator	24120	Mark G. Schoesler	2264	2264	(Prefers G.O.P. Party)
Adams	254	Legislative District 9 State Representative Pos. 1	24617	Susan Fagan	2184	2184	(Prefers Republican Party)
Adams	255	Legislative District 9 State Representative Pos. 2	23914	Joe Schmick	2176	2176	(Prefers Republican  Party)
Adams	9221	COMMISSIONER DISTRICT 1 County Commissioner District 1	24221	Rudy Plager	896	1569	(Prefers Republican Party)
Adams	9221	COMMISSIONER DISTRICT 1 County Commissioner District 1	26854	Donald E. Gentry	178	1569	(Prefers Republican Party)
Adams	9221	COMMISSIONER DISTRICT 1 County Commissioner District 1	26925	John N. Marshall	495	1569	(Prefers Republican Party)
Adams	9222	COMMISSIONER DISTRICT 2 County Commissioner District 2	23533	Oscar Garza	158	497	(Prefers Republican Party)
Adams	9222	COMMISSIONER DISTRICT 2 County Commissioner District 2	22870	Roger L. Hartwig	339	497	(Prefers Republican Party)
Adams	23	Supreme Court Justice Position 2	25308	Douglas W. McQuaid	570	1931	
Adams	23	Supreme Court Justice Position 2	22696	Susan Owens	1146	1931	
Adams	23	Supreme Court Justice Position 2	25901	Scott Stafne	215	1931	
Adams	29	Supreme Court Justice Position 8	27584	Bruce O. Danielson	1366	1984	
Adams	29	Supreme Court Justice Position 8	22800	Steve Gonzalez	618	1984	
Adams	30	Supreme Court Justice Position 9	23014	Bruce Hilyer	321	1941	
Adams	30	Supreme Court Justice Position 9	22992	Sheryl Gordon McCloud	588	1941	
Adams	30	Supreme Court Justice Position 9	24650	Richard B. Sanders	826	1941	
Adams	30	Supreme Court Justice Position 9	24241	John W. Ladenburg	206	1941	
Adams	65	Adams Superior Court  Judge Position 1	22862	Randy J. Flyckt	1179	2673	
Adams	65	Adams Superior Court  Judge Position 1	22844	Brian H. Miller	1494	2673	
